EMU	InChi	value	sd
Exx+0	/a(C1+0,1)		
Exx+1	/a(C1+1,1)		
xEx+0	/a(C1+0,2)	0.49570691137321754	0.02117598494725163
xEx+1	/a(C1+1,2)	0.5042930886267823	0.02117598494725163
xxE+0	/a(C1+0,3)		
xxE+1	/a(C1+1,3)		
EEx+0	/a(C2+0,1,2)		
EEx+1	/a(C1+1,1,2)		
EEx+2	/a(C2+1,1,2)	0.2543422418871897	0.013398501463735592
ExE+0	/a(C2+0,1,3)	0.24478173879581236	0.014480375685240755
ExE+1	/a(C1+1,1,3)	0.479578324624029	0.02129683340061175
ExE+2	/a(C2+1,1,3)	0.2756399365801585	0.01873473106405924
xEE+0	/a(C2+0,2,3)		
xEE+1	/a(C1+1,2,3)		
xEE+2	/a(C2+1,2,3)	0.25727270949461867	0.013479762248666241
EEE+0	/a(C3+0,1,2,3)	0.11980631540655655	0.009267797243148359
EEE+1	/a(C1+1,1,2,3)	0.35753336892004006	0.009267797266637172
EEE+2	/a(C2+1,1,2,3)	0.39036302952912144	0.009267797241157765
EEE+3	/a(C3+1,1,2,3)	0.1322972861442818	0.007282073378475301
